Spanish,Russian,Part of speech,Example,Notes
hola,привет,interjección,"¡Hola! ¿Cómo estás?",
gracias,спасибо,interjección,"Muchas gracias por tu ayuda.",
por favor,пожалуйста,expresión,"Un café, por favor.",
adiós,до свидания,interjección,"Adiós, nos vemos mañana.",
sí,да,adverbio,"Sí, estoy de acuerdo.",
no,нет,adverbio,"No lo sé.",
buenos días,доброе утро,expresión,"Buenos días, señora García.",
buenas tardes,добрый день,expresión,"Buenas tardes a todos.",
buenas noches,добрый вечер; спокойной ночи,expresión,"Buenas noches, que descanses.",
ser,быть,verbo,"Soy estudiante.",
estar,быть; находиться,verbo,"Estoy en casa.",
tener,иметь,verbo,"Tengo dos hermanos.",
hacer,делать,verbo,"¿Qué haces hoy?",
ir,идти; ехать,verbo,"Voy al trabajo en metro.",
venir,приходить; приезжать,verbo,"¿Vienes conmigo?",
querer,хотеть; любить,verbo,"Quiero aprender español.",
poder,мочь,verbo,"¿Puedes ayudarme?",
saber,знать; уметь,verbo,"No sé la respuesta.",
conocer,знать; быть знакомым,verbo,"Conozco bien Madrid.",
decir,говорить; сказать,verbo,"¿Qué quieres decir?",
hablar,говорить,verbo,"Hablo un poco de español.",
comer,есть,verbo,"Comemos a las dos.",
beber,пить,verbo,"Bebo mucha agua.",
vivir,жить,verbo,"Vivo en Barcelona.",
trabajar,работать,verbo,"Trabajo desde casa.",
estudiar,учиться; изучать,verbo,"Estudio español cada día.",
leer,читать,verbo,"Leo un libro interesante.",
escribir,писать,verbo,"Escribo un mensaje.",
escuchar,слушать,verbo,"Escucho música española.",
ver,видеть; смотреть,verbo,"Vemos una película.",
mirar,смотреть,verbo,"Mira esta foto.",
comprar,покупать,verbo,"Quiero comprar pan.",
pagar,платить,verbo,"Pago con tarjeta.",
abrir,открывать,verbo,"Abre la ventana, por favor.",
cerrar,закрывать,verbo,"Cierra la puerta.",
empezar,начинать,verbo,"La clase empieza a las nueve.",
terminar,заканчивать,verbo,"Termino el trabajo a las seis.",
recordar,помнить; вспоминать,verbo,"No recuerdo su nombre.",
olvidar,забывать,verbo,"Siempre olvido las llaves.",
necesitar,нуждаться; нуждаться в,verbo,"Necesito más tiempo.",
encontrar,находить,verbo,"No encuentro mi teléfono.",
buscar,искать,verbo,"Busco un apartamento.",
llevar,нести; носить; отвозить,verbo,"Llevo una chaqueta azul.",
traer,приносить; привозить,verbo,"Traigo el postre.",
poner,класть; ставить,verbo,"Pon el libro en la mesa.",
salir,выходить; уезжать,verbo,"Salgo de casa a las ocho.",
llegar,прибывать; приходить,verbo,"Llegamos tarde.",
volver,возвращаться,verbo,"Vuelvo mañana.",
dormir,спать,verbo,"Duermo ocho horas.",
despertarse,просыпаться,verbo,"Me despierto temprano.",
levantarse,вставать,verbo,"Me levanto a las siete.",
gustar,нравиться,verbo,"Me gusta el café.",
encantar,очень нравиться,verbo,"Me encanta viajar.",
pensar,думать,verbo,"Pienso en mis vacaciones.",
creer,верить; полагать,verbo,"Creo que tienes razón.",
sentir,чувствовать; сожалеть,verbo,"Siento mucho el retraso.",
casa,дом,sustantivo,"Mi casa está cerca del parque.",
trabajo,работа,sustantivo,"Tengo mucho trabajo hoy.",
tiempo,время; погода,sustantivo,"No tengo tiempo ahora.",
día,день,sustantivo,"Hoy es un buen día.",
semana,неделя,sustantivo,"Trabajo cinco días a la semana.",
mes,месяц,sustantivo,"El próximo mes voy a Sevilla.",
año,год,sustantivo,"Vivo aquí desde hace un año.",
hora,час; время,sustantivo,"¿Qué hora es?",
mañana,утро; завтра,sustantivo/adverbio,"Nos vemos mañana por la mañana.",
tarde,день; вечер; поздно,sustantivo/adverbio,"Esta tarde tengo una reunión.",
noche,ночь; вечер,sustantivo,"La ciudad es tranquila por la noche.",
agua,вода,sustantivo,"Quiero un vaso de agua.",
comida,еда; приём пищи,sustantivo,"La comida está deliciosa.",
pan,хлеб,sustantivo,"Compro pan fresco.",
café,кофе,sustantivo,"Tomo café sin azúcar.",
leche,молоко,sustantivo,"El niño bebe leche.",
fruta,фрукты; фрукт,sustantivo,"Como fruta todos los días.",
verdura,овощи; овощ,sustantivo,"Necesitamos más verdura.",
calle,улица,sustantivo,"Vivo en una calle pequeña.",
ciudad,город,sustantivo,"Madrid es una ciudad grande.",
país,страна,sustantivo,"España es un país diverso.",
mundo,мир,sustantivo,"Quiero conocer el mundo.",
amigo,друг,sustantivo,"Carlos es mi mejor amigo.",
familia,семья,sustantivo,"Mi familia vive en Rusia.",
persona,человек; персона,sustantivo,"Es una persona amable.",
niño,ребёнок; мальчик,sustantivo,"El niño juega en el parque.",
mujer,женщина; жена,sustantivo,"La mujer lleva un vestido rojo.",
hombre,мужчина; человек,sustantivo,"Ese hombre es profesor.",
libro,книга,sustantivo,"Este libro es muy útil.",
palabra,слово,sustantivo,"No entiendo esta palabra.",
pregunta,вопрос,sustantivo,"Tengo una pregunta.",
respuesta,ответ,sustantivo,"La respuesta es correcta.",
problema,проблема,sustantivo,"Tenemos un pequeño problema.",
idea,идея,sustantivo,"Es una buena idea.",
idioma,язык,sustantivo,"El español es un idioma global.",
dinero,деньги,sustantivo,"No llevo dinero en efectivo.",
precio,цена,sustantivo,"¿Cuál es el precio?",
puerta,дверь,sustantivo,"La puerta está abierta.",
ventana,окно,sustantivo,"Mira por la ventana.",
mesa,стол,sustantivo,"Las llaves están sobre la mesa.",
silla,стул,sustantivo,"Siéntate en esta silla.",
bonito,красивый; милый,adjetivo,"Es un lugar muy bonito.",
grande,большой,adjetivo,"Necesitamos una mesa grande.",
pequeño,маленький,adjetivo,"Vivo en un piso pequeño.",
bueno,хороший,adjetivo,"Es un buen restaurante.",
malo,плохой,adjetivo,"Hoy hace mal tiempo.",
nuevo,новый,adjetivo,"Tengo un teléfono nuevo.",
viejo,старый,adjetivo,"Este edificio es muy viejo.",
fácil,лёгкий; простой,adjetivo,"El ejercicio es fácil.",
difícil,трудный,adjetivo,"La pronunciación es difícil.",
rápido,быстрый,adjetivo/adverbio,"El tren es muy rápido.",
lento,медленный,adjetivo/adverbio,"Mi ordenador está lento.",
feliz,счастливый,adjetivo,"Estoy feliz de verte.",
cansado,уставший,adjetivo,"Estoy cansado después del trabajo.",
importante,важный,adjetivo,"Es una decisión importante.",
ahora,сейчас,adverbio,"No puedo hablar ahora.",
hoy,сегодня,adverbio,"Hoy trabajo desde casa.",
ayer,вчера,adverbio,"Ayer fui al cine.",
siempre,всегда,adverbio,"Siempre desayuno a las ocho.",
nunca,никогда,adverbio,"Nunca llego tarde.",
también,также; тоже,adverbio,"Yo también quiero ir.",
pero,но,conjunción,"Quiero salir, pero llueve.",
porque,потому что,conjunción,"Estudio español porque me gusta.",
con,с,preposición,"Voy con mis amigos.",
sin,без,preposición,"Tomo café sin leche.",
para,для; чтобы,preposición,"Este regalo es para ti.",
